Year,Origin,Dest,Distance,Flights_Count,DepDelay_Sum,ArrDelay_Sum
2001,PWM,BOS,95,2182,796,867
2001,PWM,PHL,365,1460,285,358
2001,RDU,CVG,390,1047,115,151
2001,RDU,DTW,501,1625,165,205
2001,RDU,FLL,680,172,25,20
2001,RDU,MSP,981,1095,81,100
2001,PHX,PSP,261,90,23,48
2001,PHX,TUL,935,1084,197,148
2001,PIT,CMH,144,1920,380,450
2001,PIT,ERI,109,1454,345,324
2001,PIT,GRR,319,552,119,119
2001,PIT,PHX,1813,1422,118,128
2001,PIT,RIC,259,985,160,202
2001,PIT,ROA,219,549,137,155
2001,PNS,ATL,272,2429,506,579
2001,PSP,DEN,776,124,15,11
2001,PSP,PHX,261,91,20,27
2001,PVD,IAH,1559,245,9,10
2001,PVD,JFK,144,1351,400,428
2001,RDU,HPN,452,149,29,30
2001,RDU,MCO,534,426,64,60
2001,RDU,PHL,336,2289,551,778
2001,RDU,TPA,587,725,146,130
2001,RIC,EWR,278,424,98,117
2001,RIC,PIT,259,1016,157,170
2001,RNO,SJC,188,2215,500,564
2001,ROA,PIT,219,818,167,199
2001,RSW,CVG,879,844,80,80
2001,SAN,CLT,2077,828,32,44
2001,SAN,DEN,853,2394,366,454
2001,SAN,OAK,446,5005,1188,1184
2001,SAN,TUS,367,1088,281,258
2001,SAT,DAL,248,4944,1232,1135
2001,SAT,MEM,625,1005,53,66
2001,SCC,FAI,373,45,11,10
2001,SDF,DFW,733,1416,110,154
2001,SDF,LAS,1624,365,23,26
2001,SDF,MSP,603,729,74,91
2001,SDF,PHL,576,230,22,40
2001,SEA,ATL,2182,1654,105,121
2001,SEA,DEN,1024,3538,510,549
2001,SEA,EWR,2401,1476,106,120
2001,SEA,FAI,1533,701,130,146
2001,SEA,HNL,2677,659,51,50
2001,SFO,EGE,847,106,46,44
2001,SFO,IAD,2419,2905,272,274
2001,SFO,KOA,2367,368,15,21
2001,SFO,ONT,363,1633,477,468
2001,SFO,PDX,550,5315,1465,1461
2001,SGF,STL,195,2026,250,377
2001,SJC,MSP,1576,993,57,61
2001,SJC,RNO,188,2252,534,552
2001,SJU,CVG,1808,230,38,39
2001,SJU,DFW,2165,1406,83,82
